ride_id,start_time,end_time,start_station_id,end_station_id,bike_id,user_type
ride-001,2026-03-21T08:47:00Z,2026-03-21T09:09:00Z,station-11,station-12,bike-058,member
ride-002,2026-03-19T18:01:00Z,2026-03-19T18:22:00Z,station-9,station-4,bike-046,casual
ride-003,2026-03-18T18:28:00Z,2026-03-18T18:42:00Z,station-13,station-3,bike-045,member
ride-004,2026-03-09T09:48:00Z,2026-03-09T09:58:00Z,station-14,station-6,bike-039,member
ride-005,2026-03-02T19:59:00Z,2026-03-02T20:46:00Z,station-10,station-14,bike-024,member
ride-006,2026-03-23T08:42:00Z,2026-03-23T08:50:00Z,station-2,station-7,bike-018,member
ride-007,2026-03-27T17:23:00Z,2026-03-27T17:44:00Z,station-11,station-11,bike-005,member
ride-008,2026-03-06T20:10:00Z,2026-03-06T20:37:00Z,station-9,station-4,bike-044,member
ride-009,2026-03-25T07:52:00Z,2026-03-25T07:57:00Z,station-10,station-12,bike-021,member
ride-010,2026-03-16T19:09:00Z,2026-03-16T19:28:00Z,station-5,station-12,bike-038,member
ride-011,2026-03-19T18:14:00Z,2026-03-19T18:21:00Z,station-2,station-3,bike-041,member
ride-012,2026-03-22T18:24:00Z,2026-03-22T19:32:00Z,station-14,station-1,bike-044,casual
ride-013,2026-03-22T20:49:00Z,2026-03-22T21:04:00Z,station-8,station-1,bike-047,casual
ride-014,2026-03-09T20:32:00Z,2026-03-09T20:56:00Z,station-4,station-3,bike-024,casual
ride-015,2026-03-18T20:38:00Z,2026-03-18T21:08:00Z,station-14,station-13,bike-020,member
ride-016,2026-03-08T08:46:00Z,2026-03-08T09:03:00Z,station-3,station-11,bike-031,casual
ride-017,2026-03-06T14:13:00Z,2026-03-06T14:26:00Z,station-11,station-11,bike-024,member
ride-018,2026-03-17T19:15:00Z,2026-03-17T19:32:00Z,station-4,station-10,bike-015,member
ride-019,2026-03-23T07:04:00Z,2026-03-23T07:09:00Z,station-11,station-8,bike-014,member
ride-020,2026-03-24T19:50:00Z,2026-03-24T20:02:00Z,station-7,station-6,bike-028,member
ride-021,2026-03-28T07:03:00Z,2026-03-28T07:14:00Z,station-4,station-4,bike-035,member
ride-022,2026-03-14T09:29:00Z,2026-03-14T10:13:00Z,station-9,station-2,bike-004,casual
ride-023,2026-03-18T07:59:00Z,2026-03-18T08:19:00Z,station-14,station-7,bike-058,member
ride-024,2026-03-13T08:16:00Z,2026-03-13T09:38:00Z,station-13,station-9,bike-043,casual
ride-025,2026-03-05T12:13:00Z,2026-03-05T12:18:00Z,station-10,station-8,bike-033,casual
ride-026,2026-03-17T09:32:00Z,2026-03-17T09:38:00Z,station-14,station-4,bike-026,member
ride-027,2026-03-19T12:39:00Z,2026-03-19T13:07:00Z,station-6,station-5,bike-014,casual
ride-028,2026-03-11T12:25:00Z,2026-03-11T13:09:00Z,station-2,station-1,bike-030,casual
ride-029,2026-03-19T08:34:00Z,2026-03-19T08:42:00Z,station-2,station-4,bike-024,member
ride-030,2026-03-15T20:39:00Z,2026-03-15T20:54:00Z,station-11,station-2,bike-057,member
ride-031,2026-03-04T08:17:00Z,2026-03-04T08:26:00Z,station-11,station-14,bike-017,member
ride-032,2026-03-09T07:40:00Z,2026-03-09T07:51:00Z,station-3,station-11,bike-017,member
ride-033,2026-03-15T21:35:00Z,2026-03-15T22:07:00Z,station-3,station-9,bike-003,casual
ride-034,2026-03-19T20:27:00Z,2026-03-19T21:06:00Z,station-13,station-14,bike-003,casual
ride-035,2026-03-07T12:22:00Z,2026-03-07T12:35:00Z,station-4,station-14,bike-011,casual
ride-036,2026-03-26T10:01:00Z,2026-03-26T10:08:00Z,station-11,station-14,bike-048,casual
ride-037,2026-03-09T09:24:00Z,2026-03-09T10:01:00Z,station-8,station-6,bike-020,casual
ride-038,2026-03-28T12:01:00Z,2026-03-28T12:16:00Z,station-2,station-13,bike-018,member
ride-039,2026-03-17T18:01:00Z,2026-03-17T19:19:00Z,station-5,station-1,bike-007,member
ride-040,2026-03-12T18:38:00Z,2026-03-12T18:56:00Z,station-5,station-1,bike-046,member
ride-041,2026-03-17T20:23:00Z,2026-03-17T21:23:00Z,station-10,station-6,bike-043,casual
ride-042,2026-03-24T13:42:00Z,2026-03-24T13:53:00Z,station-3,station-4,bike-027,casual
ride-043,2026-03-13T09:25:00Z,2026-03-13T09:38:00Z,station-13,station-10,bike-039,casual
ride-044,2026-03-15T20:43:00Z,2026-03-15T22:11:00Z,station-12,station-3,bike-043,member
ride-045,2026-03-17T17:52:00Z,2026-03-17T18:00:00Z,station-1,station-1,bike-016,casual
ride-046,2026-03-20T09:26:00Z,2026-03-20T09:41:00Z,station-7,station-4,bike-010,casual
ride-047,2026-03-01T09:14:00Z,2026-03-01T09:21:00Z,station-14,station-2,bike-030,member
ride-048,2026-03-15T20:48:00Z,2026-03-15T21:16:00Z,station-3,station-12,bike-056,member
ride-049,2026-03-09T12:49:00Z,2026-03-09T13:02:00Z,station-2,station-12,bike-019,member
ride-050,2026-03-11T17:08:00Z,2026-03-11T17:15:00Z,station-4,station-2,bike-027,member
ride-051,2026-03-18T20:03:00Z,2026-03-18T20:31:00Z,station-12,station-1,bike-055,casual
ride-052,2026-03-19T19:00:00Z,2026-03-19T19:54:00Z,station-14,station-7,bike-035,casual
ride-053,2026-03-18T13:14:00Z,2026-03-18T13:23:00Z,station-11,station-11,bike-052,member
