InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
565674,23393,HOME SWEET HOME CUSHION COVER ,4,01-06-2022 9.49,3.75,15271
565674,23395,BELLE JARDINIERE CUSHION COVER,4,01-06-2022 9.49,3.75,15271
565674,23234,BISCUIT TIN VINTAGE CHRISTMAS,6,01-06-2022 9.49,2.89,15271
565674,23270,SET OF 2 CERAMIC PAINTED HEARTS ,12,01-06-2022 9.49,1.45,15271
565674,23427,STOOL HOME SWEET HOME ,2,01-06-2022 9.49,12.5,15271
565674,23407,SET OF 2 TRAYS HOME SWEET HOME,2,01-06-2022 9.49,9.95,15271
565674,23425,STORAGE TIN HOME SWEET HOME,6,01-06-2022 9.49,2.49,15271
565674,23399,HOME SWEET HOME HANGING HEART,12,01-06-2022 9.49,0.85,15271
565674,23403,LETTER HOLDER HOME SWEET HOME,4,01-06-2022 9.49,3.75,15271
565674,23405,HOME SWEET HOME 2 DRAWER CABINET,4,01-06-2022 9.49,4.95,15271
565674,23406,HOME SWEET HOME KEY HOLDER,2,01-06-2022 9.49,6.25,15271
565674,22865,HAND WARMER OWL DESIGN,12,01-06-2022 9.49,2.1,15271
565674,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,01-06-2022 9.49,4.25,15271
565938,23066,,-13,02-06-2022 10.54,0,
565990,23232,WRAP VINTAGE LEAF DESIGN,25,02-06-2022 11.44,0.42,13577
565990,21498,RED RETROSPOT WRAP ,25,02-06-2022 11.44,0.42,13577
565990,23204,CHARLOTTE BAG APPLES DESIGN,10,02-06-2022 11.44,0.85,13577
565990,20724,RED RETROSPOT CHARLOTTE BAG,20,02-06-2022 11.44,0.85,13577
565990,20723,STRAWBERRY CHARLOTTE BAG,10,02-06-2022 11.44,0.85,13577
565990,22355,CHARLOTTE BAG SUKI DESIGN,10,02-06-2022 11.44,0.85,13577
565990,23205,CHARLOTTE BAG VINTAGE ALPHABET ,10,02-06-2022 11.44,0.85,13577
565990,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,02-06-2022 11.44,0.85,13577
565990,23200,JUMBO BAG PEARS,10,02-06-2022 11.44,2.08,13577
565990,85099B,JUMBO BAG RED RETROSPOT,20,02-06-2022 11.44,2.08,13577
565990,22386,JUMBO BAG PINK POLKADOT,10,02-06-2022 11.44,2.08,13577
565990,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,02-06-2022 11.44,2.08,13577
565990,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,02-06-2022 11.44,2.08,13577
565990,23203,JUMBO BAG VINTAGE DOILY ,10,02-06-2022 11.44,2.08,13577
565990,23202,JUMBO BAG VINTAGE LEAF,10,02-06-2022 11.44,2.08,13577
565990,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,02-06-2022 11.44,2.08,13577
565990,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,02-06-2022 11.44,2.08,13577
565990,85099F,JUMBO BAG STRAWBERRY,10,02-06-2022 11.44,2.08,13577
565990,21931,JUMBO STORAGE BAG SUKI,10,02-06-2022 11.44,2.08,13577
565990,23201,JUMBO BAG ALPHABET,10,02-06-2022 11.44,2.08,13577
565990,22663,JUMBO BAG DOLLY GIRL DESIGN,10,02-06-2022 11.44,2.08,13577
566018,82583,HOT BATHS METAL SIGN,1,02-06-2022 12.42,2.1,13137
566018,22080,RIBBON REEL POLKADOTS ,1,02-06-2022 12.42,1.65,13137
566018,21705,BAG 500g SWIRLY MARBLES,1,02-06-2022 12.42,1.65,13137
566018,20677,PINK POLKADOT BOWL,1,02-06-2022 12.42,1.25,13137
566018,20676,RED RETROSPOT BOWL,1,02-06-2022 12.42,1.25,13137
566018,20675,BLUE POLKADOT BOWL,1,02-06-2022 12.42,1.25,13137
566018,20674,GREEN POLKADOT BOWL,1,02-06-2022 12.42,1.25,13137
566018,22211,WOOD STAMP SET FLOWERS,4,02-06-2022 12.42,0.83,13137
566018,85185B,PINK HORSE SOCK PUPPET,2,02-06-2022 12.42,2.95,13137
566018,23126,FELTCRAFT GIRL AMELIE KIT,1,02-06-2022 12.42,4.95,13137
566018,20675,BLUE POLKADOT BOWL,1,02-06-2022 12.42,1.25,13137
566018,20674,GREEN POLKADOT BOWL,1,02-06-2022 12.42,1.25,13137
566018,20677,PINK POLKADOT BOWL,1,02-06-2022 12.42,1.25,13137
566018,20676,RED RETROSPOT BOWL,1,02-06-2022 12.42,1.25,13137
566018,22211,WOOD STAMP SET FLOWERS,1,02-06-2022 12.42,0.83,13137
566018,22208,WOOD STAMP SET THANK YOU,1,02-06-2022 12.42,0.83,13137
566018,85185B,PINK HORSE SOCK PUPPET,1,02-06-2022 12.42,2.95,13137
